player1,player2,winner,win_method,player1_move_time,player2_move_time,player1_turns,player2_turns,total_turns,total_game_time
Group1,Group2,Group1,BAD_MOVE,0.0,0.0,1,1,2,0.042
Group1,Group20,Group20,BAD_MOVE,0.0,16.613,6,5,11,17.286
Group1,Group21,Group21,BAD_MOVE,0.0,8.154,6,5,11,9.42
Group1,Group22,Group22,BAD_MOVE,0.0,8.343,6,5,11,9.233
Group1,Group997,Group997,BAD_MOVE,0.0,0.0,6,5,11,0.233
Group1,Group998,Group998,BAD_MOVE,0.0,0.0,6,5,11,0.356
Group1,Group999,Group999,BAD_MOVE,0.0,0.0,6,5,11,0.346
Group2,Group1,Group1,BAD_MOVE,0.0,0.0,1,0,1,0.027
Group2,Group20,Group20,BAD_MOVE,0.0,0.0,1,0,1,0.06
Group2,Group21,Group21,BAD_MOVE,0.0,0.0,1,0,1,0.104
Group2,Group22,Group22,BAD_MOVE,0.0,0.0,1,0,1,0.088
Group2,Group997,Group997,BAD_MOVE,0.0,0.0,1,0,1,0.015
Group2,Group998,Group998,BAD_MOVE,0.0,0.0,1,0,1,0.015
Group2,Group999,Group999,BAD_MOVE,0.0,0.0,1,0,1,0.014
Group20,Group1,Group20,BAD_MOVE,13.585,0.0,5,5,10,14.207
Group20,Group2,Group20,BAD_MOVE,0.845,0.0,1,1,2,0.95
Group20,Group21,Group21,WIN,45.661,17.576,11,11,22,66.626
Group20,Group22,Group22,WIN,76.26,21.971,14,14,28,101.898
Group20,Group997,Group20,BAD_MOVE,22.629,0.0,7,7,14,23.569
Group20,Group998,Group20,BAD_MOVE,5.208,0.0,3,3,6,5.574
Group20,Group999,Group20,BAD_MOVE,18.732,0.0,10,10,20,20.044
Group21,Group1,Group21,BAD_MOVE,8.566,0.0,5,5,10,9.693
Group21,Group2,Group21,BAD_MOVE,1.656,0.0,1,1,2,1.849
Group21,Group20,Group21,WIN,20.581,74.27,13,12,25,98.322
Group21,Group22,Group22,WIN,26.907,24.392,16,16,32,56.837
Group21,Group997,Group21,WIN,19.077,0.0,12,11,23,21.439
Group21,Group998,Group21,BAD_MOVE,4.93,0.0,3,3,6,5.516
Group21,Group999,Group21,BAD_MOVE,17.116,0.0,10,10,20,19.283
Group22,Group1,Group22,BAD_MOVE,8.178,0.0,5,5,10,9.024
Group22,Group2,Group22,BAD_MOVE,1.735,0.0,1,1,2,1.893
Group22,Group20,Group22,WIN,42.122,70.449,27,26,53,117.517
Group22,Group21,Group21,WIN,26.222,23.321,16,16,32,54.874
Group22,Group997,Group22,BAD_MOVE,8.21,0.0,5,5,10,9.035
Group22,Group998,Group22,WIN,19.243,0.0,12,11,23,21.187
Group22,Group999,Group22,BAD_MOVE,6.336,0.0,4,4,8,6.984
Group997,Group1,Group997,BAD_MOVE,0.0,0.0,5,5,10,0.169
Group997,Group2,Group997,BAD_MOVE,0.0,0.0,1,1,2,0.031
Group997,Group20,Group20,BAD_MOVE,0.0,34.201,11,10,21,35.551
Group997,Group21,Group21,WIN,0.0,21.621,14,14,28,24.581
Group997,Group22,Group22,BAD_MOVE,0.0,20.124,13,12,25,22.182
Group997,Group998,Group997,BAD_MOVE,0.0,0.0,7,7,14,0.24
Group997,Group999,Group997,BAD_MOVE,0.0,0.0,13,13,26,0.456
Group998,Group1,Group998,BAD_MOVE,0.0,0.0,5,5,10,0.159
Group998,Group2,Group998,BAD_MOVE,0.0,0.0,1,1,2,0.029
Group998,Group20,Group20,BAD_MOVE,0.0,54.434,14,13,27,55.652
Group998,Group21,Group21,WIN,0.0,20.664,13,13,26,23.453
Group998,Group22,Group22,BAD_MOVE,0.0,21.975,14,13,27,24.258
Group998,Group997,Group998,BAD_MOVE,0.0,0.0,6,6,12,0.218
Group998,Group999,Group998,BAD_MOVE,0.0,0.0,4,4,8,0.146
Group999,Group1,Group1,BAD_MOVE,0.0,0.0,3,2,5,0.091
Group999,Group2,Group999,BAD_MOVE,0.0,0.0,1,1,2,0.029
Group999,Group20,Group20,BAD_MOVE,0.0,29.895,15,14,29,31.245
Group999,Group21,Group21,BAD_MOVE,0.0,16.497,11,10,21,18.639
Group999,Group22,Group22,BAD_MOVE,0.0,17.839,12,11,23,19.466
Group999,Group997,Group997,BAD_MOVE,0.0,0.0,3,2,5,0.092
Group999,Group998,Group998,BAD_MOVE,0.0,0.0,10,9,19,0.402
